-450.714,648.003,-26.1766
446,-2.49862,8.75273,-0.939247
447,-1.63864,8.86273,-0.809124
448,-25.0318,140.436,3.60899
449,-7.57586,91.5365,1.25074
450,-28.1257,122.244,3.90001
451,-11.073,83.0745,1.63288
452,-2.97863,8.91174,-0.558838
454,-11.1229,83.5602,3.60394
457,-6.5959,32.6804,4.13314
458,-9.64852,71.3754,6.01736
459,-2.99862,8.99128,-0.348662
460,-3.54758,35.5929,-1.16097
461,-6.37487,31.3708,8.61028
462,-9.55235,49.9808,-1.06901
464,-11.9724,50.2693,-0.778057
465,-6.89243,50.1023,-1.3491
468,-9.24193,49.1883,0.109238
469,-5.85936,71.2212,-0.673497
470,-2.45867,8.72365,-1.35932
471,-2.01863,8.71323,-1.0994
472,-29.8093,132.01,1.06138
473,-2.46862,8.74274,-0.939273
474,-1.60864,8.85274,-0.80915
475,-9.22174,49.0859,1.24902
476,-7.18557,90.6767,1.23882
478,-2.24921,10.5526,-0.845382
479,-27.7759,122.654,3.91085
480,-10.9234,84.3545,1.66563
481,-2.93862,8.88176,-0.558908
482,-10.8128,83.4003,3.59356
485,-2.96863,9.00129,-0.348645
486,-3.5582,37.4331,-1.22699
487,-6.26488,31.3909,8.60031
488,-9.21203,49.0308,-1.04111
490,-11.8525,50.5194,-0.787532
491,-6.71242,50.0923,-1.34915
494,-2.42867,8.73366,-1.3593
495,-1.98864,8.72324,-1.09938
496,-29.3393,132.02,1.06134
497,-2.42862,8.73273,-0.9293
498,-1.56864,8.85276,-0.809155
499,-5.89054,75.4675,1.03571
501,-2.19922,10.5726,-0.845346
502,-29.8397,134.423,4.28662
503,-10.7538,85.4845,1.67806
504,-2.90862,8.90177,-0.558869
506,-6.34616,32.5952,1.98292
507,-10.5028,83.3404,3.59338
509,-6.33587,32.5705,4.12287
510,-2.93863,9.0213,-0.348605
511,-3.40814,37.2731,-1.21735
512,-6.14487,31.341,8.58019
514,-11.7827,51.1294,-0.79622
515,-6.54243,50.1224,-1.3491
518,-6.21641,32.5594,0.0728156
519,-4.08234,50.1913,-0.469283
520,-2.39867,8.72367,-1.35932
521,-1.95864,8.72325,-1.09938
522,-28.9094,132.31,1.06191
523,-14.6567,123.428,-0.449244
524,-2.39862,8.74274,-0.929282
525,-1.53864,8.85277,-0.809159
526,-6.23632,32.6077,0.822925
527,-5.63053,75.4276,1.03559
528,-2.16922,10.5726,-0.84535
529,-29.4298,134.723,4.28721
530,-10.2833,83.9447,1.64466
531,-2.88863,8.91177,-0.55885
533,-6.22616,32.5852,1.98288
534,-10.2329,83.5205,3.59374
535,-6.19655,32.3827,-1.45757
537,-6.22587,32.5806,4.12287
538,-6.01484,31.261,8.56
539,-6.20648,32.481,-0.687357
541,-11.5526,50.8995,-0.786749
542,-6.36243,50.1224,-1.34913
545,-6.11643,32.6294,0.0729539
546,-3.8923,50.0613,-0.46959
547,-2.36868,8.75368,-1.35926
548,-1.92863,8.71326,-1.09941
549,-30.1021,140.419,1.12963
550,-2.37862,8.73275,-0.929307
551,-1.50864,8.86278,-0.809141
552,-5.36054,75.4577,1.03562
554,-2.12922,10.5727,-0.845355
555,-30.0916,140.302,4.46938
556,-9.9833,84.0048,1.64475
557,-2.85864,8.94178,-0.558789
559,-10.1134,85.2104,3.66738
560,-6.08657,32.4327,-1.45748
562,-2.91872,9.27133,-0.358066
564,-5.93491,31.471,8.61044
565,-6.10651,32.561,-0.687197
567,-11.3225,50.6696,-0.787277
568,-4.6976,35.7421,-0.960497
571,-22.5123,140.474,0.30873
572,-3.71227,49.9914,-0.469766
573,-2.39882,9.1538,-1.41839
574,-1.90864,8.72327,-1.09939
575,-29.1013,138.01,1.10428
576,-9.71364,84.2491,-0.304763
577,-2.33862,8.73276,-0.929312
578,-1.47864,8.86279,-0.809145
579,-22.5218,140.477,3.59875
581,-2.08922,10.5727,-0.84536
582,-29.5616,140.262,4.45923
583,-10.3755,90.5744,1.77903
585,-9.60272,83.0308,3.57259
588,-5.89503,31.8807,8.72132
589,-8.58216,49.411,-1.05037
591,-11.0925,50.4396,-0.777806
592,-4.56758,35.6922,-0.960623
595,-22.0223,140.484,0.308686
596,-3.53228,50.0115,-0.469746
597,-2.38885,9.24385,-1.4382
598,-1.86864,8.72328,-1.0994
599,-27.9903,134.95,1.0875
600,-9.44368,84.3692,-0.304539
601,-2.30862,8.73277,-0.929316
602,-1.44864,8.8428,-0.809193
603,-22.0418,140.557,3.59885
604,-3.85424,56.3887,0.764112
606,-2.04921,10.5527,-0.845409
607,-29.0716,140.293,4.45923
608,-9.30301,83.1251,1.62275
609,-2.87876,9.31184,-0.587985
611,-9.57361,85.7605,3.6885
613,-2.92885,9.65137,-0.377242
614,-5.77503,31.8808,8.71131
615,-8.40217,49.4511,-1.05031
617,-10.779,49.8803,-0.769312
618,-4.42447,35.6427,-0.9609
621,-21.5181,140.605,0.308273
622,-2.32599,9.17428,-1.41842
623,-1.82581,8.72375,-1.09945
624,-27.5964,135.451,1.08788
625,-9.14013,84.4999,-0.304629
626,-2.25579,8.73325,-0.929377
627,-1.39582,8.85326,-0.809224
628,-21.5077,140.528,3.59811
629,-3.66094,56.4092,0.76393
631,-2.01637,10.5631,-0.845449
632,-28.5375,140.293,4.45848
633,-9.06966,83.8057,1.64387
634,-2.85599,9.47234,-0.597703
636,-9.02927,83.3215,3.58282
638,-2.9261,9.89186,-0.386787
640,-5.63203,31.7814,8.68092
641,-8.19888,49.3117,-1.05086
643,-10.599,49.7603,-0.769594
644,-4.30446,35.6327,-0.960936
647,-21.0681,140.585,0.308174
648,-3.47111,56.4121,-0.526091
649,-2.30599,9.15429,-1.41846
650,-1.80581,8.73374,-1.08943
651,-27.2566,136.031,1.08909
652,-2.23579,8.71325,-0.929423
653,-1.38582,8.86327,-0.809204
654,-21.0577,140.528,3.59806
655,-3.47094,56.4093,0.763906
657,-1.96636,10.5431,-0.835498
658,-28.0775,140.294,4.45843
659,-8.70936,82.8458,1.62174
660,-2.86606,9.70235,-0.607204
662,-8.78934,83.5415,3.59326
665,-2.94618,10.1419,-0.396243
667,-5.51199,31.6216,8.63056
668,-8.01887,49.2617,-1.04099
670,-10.409,49.7804,-0.769574
671,-4.18447,35.6528,-0.960908
674,-20.5381,140.585,0.308108
675,-3.26111,56.4322,-0.526074
676,-2.25599,9.1643,-1.41845
677,-1.76581,8.71375,-1.08948
678,-27.568,140.421,1.12863
679,-9.16231,91.2699,-0.329982
680,-2.2158,8.76326,-0.929317
681,-1.33582,8.86328,-0.80921
682,-20.5377,140.578,3.5981
683,-3.26095,56.4194,0.763902
685,-1.92637,10.5532,-0.835481
686,-27.5575,140.384,4.44856
687,-8.49969,83.8958,1.64399
688,-2.86613,9.91238,-0.61675
689,-8.52956,84.2416,3.61475
692,-5.37195,31.5017,8.60028
695,-10.249,49.9004,-0.769334
696,-4.06447,35.6628,-0.960901
699,-3.08111,56.4322,-0.526096
700,-2.23599,9.16431,-1.41845
701,-1.73581,8.72378,-1.09946
702,-27.068,140.451,1.12863
703,-8.86241,91.56,-0.329391
704,-2.1858,8.75327,-0.929343
705,-1.30582,8.86329,-0.809214
706,-3.08095,56.4294,0.773901
708,-1.88637,10.5632,-0.835465
709,-27.0475,140.364,4.44845
710,-8.21974,84.0459,1.64428
711,-2.89623,10.2024,-0.636119
713,-8.23957,84.2617,3.61475
717,-7.76913,50.0619,-1.05929
719,-10.0991,49.9805,-0.76918
720,-3.9345,35.7328,-0.960766
723,-17.2625,123.186,0.270065
724,-2.19599,9.17432,-1.41843
725,-1.70581,8.72379,-1.09947
726,-26.578,140.441,1.12855
727,-8.83349,94.9201,-0.342127
728,-2.1458,8.75328,-0.929348
729,-1.27582,8.8633,-0.809218
730,-12.0496,83.7136,2.13404
731,-2.88095,56.4295,0.763876
733,-1.85637,10.5532,-0.83549
734,-26.5675,140.344,4.44835
735,-7.91968,83.8661,1.63385
737,-7.94956,84.2518,3.6147
741,-5.30227,32.6111,8.89267
742,-7.59912,50.0519,-1.05934
744,-9.91907,49.9905,-0.76918
745,-3.80449,35.7029,-0.960847
748,-16.8025,123.126,0.269879
749,-1.67581,8.7338,-1.09945
750,-26.048,140.431,1.11846
751,-8.10194,90.1302,-0.322579
752,-2.1058,8.75329,-0.929353
753,-1.24582,8.86331,-0.809221
754,-11.6493,82.9238,2.11228
756,-1.81637,10.5632,-0.845473
757,-26.0375,140.384,4.44837
758,-7.6097,83.9261,1.64394
761,-7.62952,84.1319,3.6144
766,-5.18229,32.6911,8.91283
767,-7.42913,50.072,-1.05931
769,-9.73906,49.9806,-0.769224
770,-3.69452,35.8029,-0.960644
773,-16.3425,122.986,0.269519
774,-1.89394,34.2521,-0.314221
775,-2.08586,8.78423,-1.35929
776,-1.64581,8.73381,-1.09945
777,-25.548,140.422,1.11838
778,-7.86225,91.0703,-0.330575
779,-2.0858,8.7633,-0.929334
780,-1.21582,8.87332,-0.809203
781,-11.3894,83.3139,2.12309
782,-2.42033,54.4797,0.739601
784,-1.77637,10.5632,-0.835478
785,-25.5376,140.404,4.43835
786,-7.47028,85.7461,1.67786
790,-5.08234,32.831,8.94312
791,-7.24913,50.062,-1.05936
793,-9.55907,50.0006,-0.769203
794,-3.59467,36.273,-0.96964
797,-9.71602,71.9286,0.158251
798,-2.05585,8.75424,-1.35936
799,-1.61581,8.72382,-1.09948
800,-25.058,140.512,1.11851
801,-7.45185,89.8505,-0.323265
802,-2.04581,8.77331,-0.929317
803,-1.18582,8.86333,-0.809229
804,-9.71581,71.915,1.82823
806,-1.74637,10.5632,-0.835482
807,-25.0376,140.435,4.43835
808,-7.01966,83.8063,1.63361
810,-9.69545,71.7696,4.35791
814,-1.43918,19.3729,-0.626464
815,-4.97235,32.8811,8.95322
816,-7.05913,50.0721,-1.05936
818,-9.20876,49.0607,-0.75128
821,-15.3922,122.307,0.26793
822,-1.36913,19.3819,-0.176452
823,-2.01586,8.76425,-1.35934
824,-1.57581,8.73383,-1.09946
825,-9.23867,49.1982,0.389024
826,-7.73466,98.5605,-0.354389
827,-2.01581,8.78332,-0.929299
828,-1.15583,8.88334,-0.809189
829,-10.9098,84.294,2.14515
830,-1.52181,27.9007,0.371996
831,-1.70637,10.5632,-0.835487
832,-6.46326,32.6677,1.02292
833,-6.80003,84.9564,1.65607
837,-6.42347,32.4427,-1.26757
838,-1.35918,19.3729,-0.626473
839,-4.86235,32.8611,8.94316
840,-6.88913,50.0721,-1.05938
842,-4.18886,49.1236,-1.32177
845,-10.9911,87.5982,0.192305
846,-1.28913,19.382,-0.176462
847,-1.98585,8.75424,-1.34937
848,-1.54581,8.73384,-1.09946
849,-6.86203,90.3906,-0.322169
850,-1.99581,8.77333,-0.929323
851,-1.12582,8.87335,-0.809215
852,-10.7401,85.404,2.17753
853,-1.43182,27.9407,0.372071
855,-1.66638,10.5832,-0.835449
856,-5.88701,75.497,1.4755
858,-1.28924,19.3639,-1.0865
861,-1.29918,19.3729,-0.626481
862,-6.70913,50.0822,-1.05938
864,-6.2134,32.5011,-0.497472
865,-4.00888,49.2036,-1.32162
868,-10.6108,86.9283,0.190808
869,-1.21913,19.392,-0.176449
870,-1.95585,8.75425,-1.34937
871,-1.51581,8.73385,-1.09947
872,-6.21332,32.5395,0.252613
873,-5.62724,75.5509,-0.274423
874,-1.95581,8.77334,-0.929328
875,-1.08582,8.87336,-0.80922
876,-10.2696,83.8842,2.13419
878,-1.63637,10.5632,-0.835496
879,-6.22324,32.6078,1.02276
880,-5.62701,75.4971,1.47546
882,-1.21924,19.3739,-1.08649
883,-10.189,83.148,5.04259
886,-6.19347,32.4328,-1.26762
887,-1.21918,19.3729,-0.626491
888,-4.61231,32.7413,8.90287
889,-6.52914,50.1222,-1.05932
891,-6.10342,32.5711,-0.497334
892,-3.85896,49.4537,-1.3311
894,-10.1002,84.9585,0.186484
895,-1.92585,8.75426,-1.34937
896,-1.48582,8.74386,-1.09945
897,-6.12335,32.6395,0.252818
898,-5.37725,75.571,-0.274411
899,-1.93581,8.78335,-0.929309
900,-1.06583,8.88337,-0.8092
